City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,petropavlovsk-kamchatsky,53.0452,158.6483,275.48,44,0,1.0,RU,1712098746
1,port-aux-francais,-49.35,70.2167,280.07,79,89,13.05,TF,1712098746
2,nepalgunj,28.05,81.6167,293.46,22,56,1.69,NP,1712098746
3,hawaiian paradise park,19.5933,-154.9731,298.88,78,75,6.17,US,1712098747
4,la passe,45.5549,-0.8967,284.28,86,100,8.35,FR,1712098747
5,tiksi,71.6872,128.8694,251.02,91,84,2.52,RU,1712098747
6,nizhneangarsk,55.7833,109.55,258.15,88,17,1.79,RU,1712098747
7,happy valley-goose bay,53.3168,-60.3315,274.32,75,75,7.72,CA,1712098700
8,amnat charoen,15.9167,104.75,301.65,60,6,4.27,TH,1712098747
9,bori,4.6737,7.362,300.91,84,97,3.63,NG,1712098747
10,kirakira,-10.4544,161.9205,300.27,84,100,1.88,SB,1712098732
11,soufriere,13.8562,-61.0566,300.31,85,75,7.72,LC,1712098747
12,kodiak,57.79,-152.4072,273.88,34,0,9.26,US,1712098589
13,crane,31.3974,-102.3501,292.77,20,83,7.1,US,1712098747
14,dunbar,38.3606,-81.7374,293.14,87,100,2.57,US,1712098502
15,ribeira grande,38.5167,-28.7,289.09,80,100,11.67,PT,1712098747
16,nova sintra,14.8667,-24.7167,292.87,80,31,10.59,CV,1712098748
17,kerikeri,-35.2268,173.9474,294.11,53,5,1.61,NZ,1712098748
18,kedougou,12.5579,-12.1743,309.47,36,0,0.0,SN,1712098748
19,bredasdorp,-34.5322,20.0403,289.14,88,49,1.43,ZA,1712098748
20,aykhal,66.0,111.5,261.75,91,100,8.02,RU,1712098748
21,adamstown,-25.066,-130.1015,297.08,72,65,12.3,PN,1712098748
22,luwuk,-0.9516,122.7875,300.43,79,96,0.95,ID,1712098748
23,tsiombe,-25.3,45.4833,294.28,89,0,4.55,MG,1712098748
24,avarua,-21.2078,-159.775,302.18,65,75,4.63,CK,1712098748
25,tapes,-30.6733,-51.3958,294.13,79,68,3.65,BR,1712098748
26,divnomorskoye,44.5011,38.1353,289.36,57,99,2.59,RU,1712098748
27,beau vallon,-20.4189,57.6953,299.28,73,75,6.69,MU,1712098748
28,ishinomaki,38.4167,141.3,281.15,56,80,2.17,JP,1712098749
29,testour,36.5513,9.4431,284.49,73,53,1.08,TN,1712098749
30,waitangi,-43.9535,-176.5597,287.49,93,100,2.68,NZ,1712098749
31,hami,42.8,93.45,279.49,42,23,0.69,CN,1712098749
32,fuyuan,46.4333,127.0833,274.8,67,15,3.57,CN,1712098749
33,edinburgh of the seven seas,-37.0676,-12.3116,288.82,77,89,7.06,SH,1712098749
34,stanley,54.868,-1.6985,280.77,94,75,2.57,GB,1712098749
35,grytviken,-54.2811,-36.5092,277.22,74,17,4.41,GS,1712098749
36,blackmans bay,-43.0167,147.3167,284.11,71,74,0.45,AU,1712098749
